Lemma,K,TrueK,B-Cubed Precision,B-Cubed Recall,F-B-Cubed,N_instances,Strategy
aboutir,4,4,0.708843537414966,0.3409620991253644,0.4604448095034525,49,oracle
investir,4,4,0.7380952380952381,0.4627305467641601,0.5688405671329245,49,oracle
traduire,3,3,0.825899590605473,0.856445142159428,0.8408950606913325,49,oracle
témoigner,2,2,0.8288690476190476,0.5542635658914729,0.6643063812989557,48,oracle
juger,4,4,0.7377162629757786,0.5452488687782806,0.6270458093926795,34,oracle
justifier,4,4,0.7897812971342383,0.32341269841269843,0.4589052747127741,48,oracle
viser,2,2,0.8227504244482172,0.8305194805194805,0.8266166932860038,50,oracle
prononcer,5,5,0.586524133462909,0.589029897673355,0.5877743399744977,49,oracle
accomplir,4,4,0.7004830917874396,0.3709935897435897,0.48507772279316047,48,oracle
convenir,5,5,0.6630351388675771,0.7118904704739037,0.6865948096526668,49,oracle
acquérir,5,5,0.6431297134238311,0.4175324675324675,0.5063394141488065,50,oracle
achever,3,3,0.7604,0.6606451612903226,0.7070212696884485,50,oracle
observer,4,4,0.6031111111111112,0.39666666666666667,0.478574493249792,50,oracle
adapter,5,5,0.6575047619047619,0.7034615384615384,0.679707216603801,50,oracle
admettre,4,4,0.5549190761956722,0.3354863221884499,0.4181640368131844,47,oracle
entraîner,4,4,0.7167397660818713,0.37280701754385964,0.49048946977095803,48,oracle
payer,6,6,0.4643706293706294,0.2837566137566137,0.35226156183305324,50,oracle
respecter,2,2,0.7858971545607489,0.6357640617222498,0.7029032765926193,49,oracle
affecter,8,8,0.6271494708994709,0.3369408369408369,0.43836612338403874,48,oracle
demeurer,4,4,0.6482654600301659,0.39778346121057107,0.4930348299638322,46,oracle
aggraver,2,2,0.7273333333333334,0.5566395663956639,0.630640270092976,50,oracle
agir,5,5,0.7468457468457469,0.5190515350877193,0.612453212190604,48,oracle
ajouter,4,4,0.6541176470588235,0.5393333333333333,0.5912055942313467,50,oracle
alimenter,3,3,0.5443177270908364,0.4169538783255237,0.47219825013465305,49,oracle
coûter,4,4,0.3437020460358057,0.33788819875776394,0.34077032183967804,46,oracle
relancer,3,3,0.5480357142857143,0.45394736842105265,0.4965739883468431,48,oracle
préférer,3,3,0.5622470588235293,0.41937254901960785,0.4804121228866481,50,oracle
appliquer,3,3,0.4536782661782662,0.38111496913580245,0.41424287841970725,48,oracle
apporter,5,5,0.37633333333333324,0.28188311688311685,0.3223316929878313,50,oracle
fonder,6,6,0.7556140350877193,0.528,0.6216264336669072,50,oracle
appuyer,4,4,0.7836734693877551,0.4506417951796103,0.5722298449289053,49,oracle
changer,5,5,0.4105895915678525,0.3985507246376812,0.40448059242196255,46,oracle
chuter,2,2,0.6327561327561327,0.5976284584980238,0.6146908403092158,33,oracle
soutenir,5,5,0.56933465085639,0.31919121084618984,0.40905194180856447,46,oracle
concevoir,3,3,0.8549450549450549,0.4350724637681159,0.5766790654579027,50,oracle
interroger,3,3,0.5985,0.4453535353535354,0.51069250489314,50,oracle
confirmer,4,4,0.40499194847020936,0.449624060150376,0.4261425487748311,48,oracle
transformer,1,1,1.0,1.0,0.999999995,16,oracle
manifester,3,3,0.6884086968120581,0.6446305017733589,0.6658007368320642,49,oracle
interpeller,2,2,0.926470588235294,0.5788043478260869,0.7124880487869543,48,oracle
signer,5,5,0.809,0.6820000000000002,0.7400912089866454,50,oracle
rester,6,6,0.6255065856129687,0.519613152804642,0.5676636867009828,47,oracle
tuer,2,2,0.6210957501280082,0.5685131195335277,0.5936423113027767,49,oracle
indiquer,3,3,0.7362884160756502,0.5302782324058921,0.61652928758699,47,oracle
conduire,6,6,0.5462098185502441,0.5502364066193852,0.5482157139657943,47,oracle
situer,2,2,0.8882051282051282,0.5052482269503547,0.6441034589539779,50,oracle
aider,5,5,0.4714485794317727,0.4779883381924198,0.4746959307547961,49,oracle
poursuivre,5,5,0.8870119242459668,0.625204582651391,0.7334451299907976,47,oracle
profiter,3,3,0.7929999999999998,0.4466666666666667,0.5714546875117934,50,oracle
détenir,2,2,0.5296404275996112,0.5375059722885809,0.5335442079219401,49,oracle
lire,5,5,0.7219607843137256,0.4451428571428571,0.5507234698022282,50,oracle
contenir,5,5,0.6579452293738007,0.5244897959183673,0.5836862893604313,49,oracle
noter,3,3,0.9047619047619047,0.5833333333333334,0.7093333285666134,18,oracle
dater,2,2,0.8476190476190476,0.7356656948493684,0.7876842806223712,49,oracle
adopter,5,5,0.6948624338624341,0.5593611111111111,0.6197922555885348,50,oracle
intervenir,3,3,0.686456400742115,0.7186588921282799,0.7021886324117539,49,oracle
conclure,4,4,0.7319444444444444,0.5479797979797979,0.6267414154226948,48,oracle
disputer,3,3,0.8907142857142857,0.40212765957446805,0.5540984334528821,50,oracle
dominer,4,4,0.7242640692640693,0.45771396396396397,0.560933902281588,48,oracle
enregistrer,4,4,0.713960113960114,0.42222222222222217,0.5306363488346143,45,oracle
estimer,2,2,0.7707883153261306,0.700261643118786,0.733834341137472,49,oracle
appartenir,4,4,0.47269261239849475,0.30836964415395784,0.37324566534988207,48,oracle
arriver,6,6,0.6247018287834615,0.3807256235827664,0.473112188038175,49,oracle
chercher,4,4,0.5042222222222222,0.4142564102564103,0.45483319500082353,50,oracle
composer,4,4,0.9319727891156462,0.4684385382059801,0.6234910548725698,49,oracle
confier,2,2,1.0,1.0,0.999999995,50,oracle
